source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,Thu Jan 12 04:01:38 +0000 2017,28013,117510,FALSE,819393877174087682
Twitter for Android,"""@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!!"" THANKS!",Thu Jan 12 04:24:52 +0000 2017,9407,52250,FALSE,819399723924803585
Twitter for Android,"James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!",Thu Jan 12 12:23:45 +0000 2017,17156,71695,FALSE,819520238446411777
Twitter for Android,Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine,Thu Jan 12 13:50:13 +0000 2017,21477,92600,FALSE,819541997325316096
Twitter for Android,.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,Thu Jan 12 14:22:21 +0000 2017,35250,127608,FALSE,819550083742109696
Twitter for iPhone,Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!,Thu Jan 12 17:41:11 +0000 2017,19307,85951,FALSE,819600124133474307
Twitter for Android,"All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!",Fri Jan 13 10:49:34 +0000 2017,16644,80961,FALSE,819858926455967744
Twitter for Android,It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....,Fri Jan 13 11:05:55 +0000 2017,17299,72507,FALSE,819863039902097408
Twitter for Android,"Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...",Fri Jan 13 11:11:13 +0000 2017,12500,54584,FALSE,819864373988573184
Twitter for Android,"released by ""Intelligence"" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!",Fri Jan 13 11:16:54 +0000 2017,12255,54075,FALSE,819865802849587200
Twitter for Android,What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....,Fri Jan 13 11:22:38 +0000 2017,12744,58039,FALSE,819867246352801792
Twitter for Android,have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,Fri Jan 13 11:25:54 +0000 2017,13436,67252,FALSE,819868066364461058
Twitter for Android,"The ""Unaffordable"" Care Act will soon be history!",Fri Jan 13 11:33:24 +0000 2017,30025,129591,FALSE,819869953692155904
Twitter Web Client,"A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.",Fri Jan 13 17:42:42 +0000 2017,21197,109424,FALSE,819962894616064001
Twitter for Android,"Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......",Sat Jan 14 12:50:26 +0000 2017,21049,87998,FALSE,820251730407473153
